County,Population (January 2019),Population in Group Quarters (January 2019),Population: Unincorporated (January 2019),"Population: Unincorporated, Group Quarters (January 2019)",Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019),Eligible Voters (February 2019),Registered Voters: No Party (February 2019),Registered Voters: Democrat (February 2019),Registered Voters: Republican (February 2019),Registered Voters: Other Party (February 2019),Labor Force: Employed (2018),Labor Force: Unemployed (2018),Labor Force: Unemployment Rate (2018),Poverty: All Ages (2017),Poverty: All Ages Percent (2017),Poverty: Under 18 (2017),Poverty: Under 18 Percent (2017),Median Household Income (2017)
Alameda,"1,669,301","39,821","149,536","2,356","4,849","443,972","192,977","391,815","69,855","13,634","562,667","113,908","235,459","1,078,207","252,195","1,082,749","261,947","489,759","95,587","31,070"," 822,800 "," 25,400 ",3.0%,"152,087",9.3%,"35,658",10.5%,"$95,550 "
Alpine,"1,162",24,"1,162",24,202,6,1,85,22,0,830,39,154,648,305,929,209,319,200,42, 520 , 30 ,4.6%,202,18.1%,67,35.3%,"$55,755 "
Amador,"38,294","4,362","21,774",151,594,454,"1,024","5,311","1,021",64,"29,802","1,811","3,812","21,882","10,765","28,216","4,791","6,347","9,809","1,439"," 14,120 ", 590 ,4.0%,"3,762",10.9%,908,15.7%,"$60,588 "
Butte,"226,466","4,970","78,702",360,"3,361","10,141","3,666","35,848","8,801",474,"166,738","15,015","31,775","138,840","43,399","171,388","30,377","42,093","41,330","7,398"," 97,600 "," 5,100 ",4.9%,"40,728",18.1%,"10,208",22.6%,"$48,634 "
Calaveras,"45,117",507,"41,277",460,532,589,371,"5,114","1,320",71,"36,745","2,280","4,929","23,928","13,605","36,052","6,956","7,935","12,200","2,173"," 20,510 ", 850 ,4.0%,"5,904",13.1%,"1,590",21.1%,"$58,536 "
Colusa,"22,117",251,"10,335",61,302,268,166,"13,215",310,63,"8,570","1,819","4,243","13,293","3,539","12,541","2,268","2,710","3,475",367," 9,550 "," 1,420 ",12.9%,"2,633",12.2%,912,15.4%,"$53,595 "
Contra Costa,"1,155,879","10,475","173,406",860,"3,333","176,305","103,842","294,840","45,537","5,245","529,600","75,329","172,284","712,517","198,572","756,140","174,686","305,850","122,364","27,144"," 546,800 "," 17,800 ",3.2%,"103,883",9.1%,"29,067",11.2%,"$95,062 "
Del Norte,"27,401","2,984","20,573",218,"1,854",989,886,"5,046","1,038",29,"17,460","1,758","3,884","16,575","5,085","17,960","3,632","4,172","4,918",943," 9,410 ", 550 ,5.5%,"6,113",24.6%,"1,949",33.9%,"$39,996 "
El Dorado,"191,848","1,705","158,131",662,"1,673","7,390","1,380","25,914","5,555",272,"148,159","9,960","26,654","112,044","41,685","137,976","30,066","34,739","48,494","7,727"," 88,300 "," 3,300 ",3.6%,"15,620",8.3%,"3,602",9.6%,"$78,464 "
Fresno,"1,018,241","17,628","175,561","2,123","6,610","97,763","49,562","537,390","19,553","1,219","309,297","92,179","190,819","609,436","128,960","591,840","114,277","172,730","150,470","19,193"," 414,900 "," 33,400 ",7.5%,"205,046",21.1%,"78,675",28.3%,"$51,452 "
Glenn,"29,132",327,"14,513",99,483,713,201,"11,825",532,21,"15,684","2,323","5,113","17,222","4,801","18,502","3,197","3,547","5,375",682," 11,940 ", 830 ,6.5%,"4,111",14.8%,"1,528",20.8%,"$49,979 "
Humboldt,"135,333","5,527","71,930","1,090","7,091","3,241","1,611","15,153","6,004",356,"102,675","8,722","19,288","82,536","25,585","107,633","20,510","34,027","17,670","5,702"," 60,800 "," 2,200 ",3.6%,"26,262",19.7%,"6,347",24.7%,"$46,123 "
Imperial,"190,266","8,613","38,033","4,020","1,689","2,407","4,683","156,971","1,141",96,"24,470","18,393","35,545","111,975","25,544","99,618","21,018","32,941","12,738","2,859"," 58,200 "," 12,900 ",18.1%,"35,830",20.7%,"14,566",28.1%,"$43,413 "
Inyo,"18,593",404,"14,694",296,"1,802",243,117,"3,958",495,15,"11,911","1,187","2,638","10,208","4,508","13,721","2,482","3,068","3,968",607," 8,390 ", 340 ,3.9%,"2,087",11.8%,648,17.6%,"$53,528 "
Kern,"916,464","32,414","318,006","3,128","6,083","36,404","49,300","476,000","17,558","1,134","331,156","82,604","173,280","556,676","105,075","512,007","100,608","125,717","132,298","20,238"," 356,100 "," 30,900 ",8.0%,"182,948",21.2%,"74,276",29.0%,"$49,904 "
Kings,"153,710","16,204","33,693","1,967","1,329","5,390","9,762","82,410","3,610",275,"52,306","14,171","32,935","91,541","16,435","78,570","12,103","16,995","20,991","2,356"," 53,400 "," 4,500 ",7.7%,"24,810",18.4%,"9,951",24.5%,"$55,076 "
Lake,"65,071","1,132","45,437",535,"1,654",808,"1,178","12,854","2,183",101,"46,474","4,538","9,208","36,445","15,061","49,278","9,713","12,270","8,685","2,165"," 27,590 "," 1,520 ",5.2%,"12,817",20.2%,"3,905",30.1%,"$45,797 "
Lassen,"30,150","7,596","15,142","1,199",845,314,"2,478","5,373",822,151,"20,577","1,844","3,457","19,950","5,309","16,873","3,500","2,817","7,035","1,024"," 9,430 ", 470 ,4.8%,"3,790",16.3%,940,18.0%,"$58,776 "
